15.1649 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
160.3860 	EXP 	grating: autoDraw = True
160.3860 	EXP 	grating: tex = 'sin'
160.6858 	EXP 	grating: autoDraw = False
160.7556 	EXP 	window1: recordFrameIntervals = False
160.7592 	DATA 	Keypress: right
160.7693 	EXP 	fixation: autoDraw = False
160.7693 	EXP 	grating: autoDraw = False
160.7693 	EXP 	fixation: autoDraw = True
160.7696 	EXP 	window1: recordFrameIntervals = False
161.7696 	EXP 	fixation: autoDraw = False
162.7704 	EXP 	grating: autoDraw = True
162.7704 	EXP 	grating: tex = 'sin'
163.0703 	EXP 	grating: autoDraw = False
163.1555 	EXP 	window1: recordFrameIntervals = False
163.1580 	DATA 	Keypress: right
163.1705 	EXP 	fixation: autoDraw = False
163.1705 	EXP 	grating: autoDraw = False
163.1705 	EXP 	fixation: autoDraw = True
163.1707 	EXP 	window1: recordFrameIntervals = False
164.1702 	EXP 	fixation: autoDraw = False
165.1543 	EXP 	grating: autoDraw = True
165.1543 	EXP 	grating: tex = 'sin'
165.4542 	EXP 	grating: autoDraw = False
165.5281 	EXP 	window1: recordFrameIntervals = False
165.5302 	DATA 	Keypress: right
165.5325 	EXP 	fixation: autoDraw = False
165.5325 	EXP 	grating: autoDraw = False
165.5325 	EXP 	fixation: autoDraw = True
165.5326 	EXP 	window1: recordFrameIntervals = False
166.5182 	EXP 	fixation: autoDraw = False
167.5387 	EXP 	grating: autoDraw = True
167.5387 	EXP 	grating: tex = 'sin'
167.8384 	EXP 	grating: autoDraw = False
167.9571 	EXP 	window1: recordFrameIntervals = False
167.9590 	DATA 	Keypress: left
167.9721 	EXP 	fixation: autoDraw = False
167.9721 	EXP 	grating: autoDraw = False
167.9721 	EXP 	fixation: autoDraw = True
167.9723 	EXP 	window1: recordFrameIntervals = False
168.9721 	EXP 	fixation: autoDraw = False
169.9565 	EXP 	grating: autoDraw = True
169.9565 	EXP 	grating: tex = 'sin'
170.2560 	EXP 	grating: autoDraw = False
170.4750 	EXP 	window1: recordFrameIntervals = False
170.4775 	DATA 	Keypress: right
170.4897 	EXP 	fixation: autoDraw = False
170.4897 	EXP 	grating: autoDraw = False
170.4897 	EXP 	fixation: autoDraw = True
170.4899 	EXP 	window1: recordFrameIntervals = False
171.4897 	EXP 	fixation: autoDraw = False
172.4739 	EXP 	grating: autoDraw = True
172.4739 	EXP 	grating: tex = 'sin'
172.7737 	EXP 	grating: autoDraw = False
172.9274 	EXP 	window1: recordFrameIntervals = False
172.9310 	DATA 	Keypress: right
172.9405 	EXP 	fixation: autoDraw = False
172.9405 	EXP 	grating: autoDraw = False
172.9405 	EXP 	fixation: autoDraw = True
172.9408 	EXP 	window1: recordFrameIntervals = False
173.9408 	EXP 	fixation: autoDraw = False
174.9426 	EXP 	grating: autoDraw = True
174.9426 	EXP 	grating: tex = 'sin'
175.2581 	EXP 	grating: autoDraw = False
175.3101 	EXP 	window1: recordFrameIntervals = False
175.3126 	DATA 	Keypress: left
175.3252 	EXP 	fixation: autoDraw = False
175.3252 	EXP 	grating: autoDraw = False
175.3252 	EXP 	fixation: autoDraw = True
175.3254 	EXP 	window1: recordFrameIntervals = False
176.3250 	EXP 	fixation: autoDraw = False
177.3090 	EXP 	grating: autoDraw = True
177.3090 	EXP 	grating: tex = 'sin'
177.6089 	EXP 	grating: autoDraw = False
177.6944 	EXP 	window1: recordFrameIntervals = False
177.6971 	DATA 	Keypress: left
177.7091 	EXP 	fixation: autoDraw = False
177.7091 	EXP 	grating: autoDraw = False
177.7091 	EXP 	fixation: autoDraw = True
